,bikeid,mean_tripduration
10902,30630,162.0
7091,26165,186.5
5761,22373,197.0
11589,31359,244.0
5762,22380,278.3333333333333
10059,29649,303.0
10855,30581,344.5
10058,29648,451.0
10979,30710,457.0
1019,15817,468.3448275862069
9606,28888,490.5
12314,32312,504.6
11752,31530,510.0
4927,20736,520.6
10168,29816,543.8982035928144
4287,19809,544.2272727272727
10614,30315,545.25
9786,29069,551.2978723404256
10318,29995,554.5555555555555
4269,19787,556.2096774193549
10046,29562,561.2972972972973
10467,30156,574.8333333333334
2896,18116,576.2714285714286
12797,32815,576.7727272727273
4653,20255,579.3488372093024
1866,16870,580.4756097560976
4037,19501,588.5370370370371
83,14628,590.3804347826087
9391,28673,594.967032967033
11815,31604,605.2441860465116
5810,24825,609.0873786407767
3674,19057,609.9512195121952
1152,15985,610.44
3753,19151,612.1578947368421
10055,29631,613.0
3993,19449,619.3383458646616
13366,33401,619.7012987012987
5560,21474,620.4117647058823
3945,19387,622.9310344827586
7339,26553,623.1538461538462
10135,29774,623.453488372093
11309,31065,624.6410256410256
260,14863,624.9230769230769
10933,30664,625.2
96,14645,625.3584905660377
10419,30104,625.4848484848485
3185,18465,627.97
4455,20023,628.8627450980392
11980,31967,628.9886363636364
5187,21050,629.1165644171779
11444,31206,629.6304347826087
10286,29963,631.1111111111111
7109,26308,633.7142857142857
3556,18905,635.8508771929825
11902,31795,636.6875
13320,33353,636.9007092198582
1543,16482,637.3086419753087
12179,32171,639.6370967741935
5225,21093,639.75
3641,19015,641.5975609756098
831,15585,642.2692307692307
6409,25451,642.3354430379746
820,15569,642.3448275862069
9324,28605,642.7123287671233
11213,30956,643.6091954022988
10918,30648,644.4545454545455
2698,17879,646.05
11593,31363,646.8026315789474
5213,21079,647.3636363636364
7019,26076,647.6069868995634
1724,16705,647.7709923664122
880,15645,648.1052631578947
12961,32985,648.5515463917526
11937,31885,648.7292817679559
11547,31312,648.7422680412371
8106,27379,649.2888888888889
3982,19432,649.9408284023668
6906,25959,650.2923076923076
12674,32681,650.3513513513514
12334,32332,651.0133333333333
12617,32623,651.027027027027
5164,21026,651.2921348314607
11649,31422,652.2555555555556
7439,26671,654.035019455253
10079,29704,654.2622950819672
12914,32935,654.3552631578947
11159,30898,654.4647887323944
1043,15849,654.5853658536586
7098,26225,655.1969696969697
10183,29852,655.2
2704,17885,655.9878048780488
10898,30626,656.6396396396397
12181,32173,657.8700564971751
12817,32835,658.8709677419355
1956,16982,660.1692307692308
11883,31701,660.4545454545455
4697,20319,660.7942857142857
11666,31440,660.8157894736842
10474,30166,661.2242424242424
6778,25826,661.6175298804781
3238,18529,662.1486486486486
4549,20139,662.4424242424243
2634,17799,662.4615384615385
10194,29863,662.7342657342657
10376,30058,662.9846153846154
4141,19624,663.3465346534654
4385,19938,664.0344827586207
8676,27952,664.2900763358779
8564,27840,664.375
8103,27376,665.473880597015
4436,20001,665.6966292134831
12994,33019,665.796875
12755,32764,665.8333333333334
11055,30788,666.2048192771084
3385,18701,666.6493506493506
10443,30129,667.4351145038167
11264,31013,667.6507936507936
12057,32045,667.8940397350993
10569,30266,667.9078947368421
10407,30089,668.8606060606061
1714,16694,668.9069767441861
11932,31857,669.0359712230215
11316,31072,669.1243781094528
563,15250,669.2
4770,20521,669.8387096774194
10345,30022,670.0217391304348
13046,33072,670.1595744680851
10113,29746,670.2635135135135
6345,25383,670.5192307692307
4381,19928,670.578125
10442,30128,670.6092715231788
10640,30347,670.9090909090909
4861,20637,671.7666666666667
5919,24939,672.2167832167833
2688,17868,672.2608695652174
12610,32615,672.7142857142857
12091,32079,672.8682170542636
12567,32571,673.563492063492
4803,20560,673.5980392156863
6187,25220,674.1196581196581
12518,32519,674.3295454545455
11328,31084,674.6326530612245
10627,30330,674.6923076923077
1464,16388,674.718875502008
13006,33031,674.8846153846154
2846,18056,675.0
11557,31323,675.751724137931
11945,31895,675.8169014084507
7130,26337,675.8290598290598
2010,17047,675.9186046511628
9338,28619,675.9761904761905
8639,27915,676.0144927536232
10937,30668,676.486301369863
13251,33283,676.5
11461,31223,676.556886227545
12304,32301,676.5939086294417
12772,32787,676.6084656084656
13054,33080,676.918918918919
11361,31118,677.2026143790849
1800,16796,677.4528301886793
4444,20010,678.3404255319149
2927,18151,678.3478260869565
10234,29907,678.3739130434783
4559,20150,678.4375
7110,26310,678.5384615384615
11298,31053,678.551912568306
4952,20769,678.559633027523
11577,31344,678.688524590164
1308,16192,678.8157894736842
11941,31891,678.9042553191489
3784,19198,679.0967741935484
